"Label","Gender","Publication","Relative longevity (Ln)","Relative steepness (Ln)","p-value","KSm test stat","KSm p-value"
"Enal","f","C2005","Around[-0.0026420460762672806, 0.0022050531508052995]","Around[-0.09484522806470648, 0.009109518257569331]",0.5730735771286912,0.8254307986850846,0.5119517860356384
"Enal","m","C2005","Around[0.05449151598147289, 0.002685097603241888]","Around[0.24101015553570793, 0.009351072363807602]",0.018302432300402544,1.1145481370281614,0.166745276913237
"FO_hi","f","C2010","Around[-0.00784617035325898, 0.0017556931452434273]","Around[0.10380947382707616, 0.009573766193427147]",0.2722205697755753,1.0653802770892054,0.20660984126077606
"FO_hi","m","C2010","Around[-0.04763111302474424, 0.002836482139455931]","Around[-0.007554133466092997, 0.009131936761544295]",0.17667186036790722,0.42376596473443595,">= 0.8"
"FO_lo","f","C2010","Around[-0.03152049395329676, 0.0019126658607793593]","Around[0.005939156523227209, 0.00805531195639714]",0.19681238236458015,0.4759035828677636,">= 0.8"
"FO_lo","m","C2010","Around[0.04062937377466777, 0.003028780049299346]","Around[0.07039214325634802, 0.010071139606903015]",0.4664416527936544,0.7014023936318732,0.7476775663092424
"GGA","f","C2016","Around[0.0009365012047473439, 0.0016516674893323196]","Around[-0.07275442700918903, 0.009243527927961456]",0.7182528152314144,0.5582319085812549,">= 0.8"
"GGA","m","C2016","Around[0.021819985201502776, 0.0030192962559028366]","Around[0.1538666520912018, 0.009842740473047989]",0.3742349290578521,0.8366001573519368,0.49329275088141666
"Gly","f","C2014","Around[0.04853755364984478, 0.0016851112272677573]","Around[0.05618132501255382, 0.008607044149717932]",0.04748941034346929,0.4774922094089971,">= 0.8"
"Gly","m","C2014","Around[0.053124646901698984, 0.002486302990334885]","Around[0.01743896216296127, 0.009021739488001484]",0.04718699556646878,0.5394310721539975,">= 0.8"
"GTE","f","C2007","Around[0.03558464011880361, 0.001831406288149699]","Around[0.29057472309113647, 0.010939404625508305]",0.02198149201268882,1.497219955276321,0.022591354087596847
"GTE","m","C2007","Around[0.028199404219007625, 0.002981505998676005]","Around[0.036585318988276654, 0.011916807226621777]",0.64024557988825,0.7984743214960881,0.5587934888902749
"HBX","f","C2012","Around[-0.01303880207328648, 0.0018987003517515596]","Around[-0.0038815328401640477, 0.007667445822081751]",0.7159052040685673,0.6122245349763604,">= 0.8"
"HBX","m","C2012","Around[0.0114393443081498, 0.0026638403490956935]","Around[0.018519346656726873, 0.008179666136079433]",0.8952317781025896,0.6345172194733762,">= 0.8"
"INT-767","f","C2012","Around[-0.004798255304034395, 0.0020338598073783814]","Around[0.05811886586627736, 0.007798549816931954]",0.6595525987240272,0.7666197347756888,0.6173837699891189
