experiment,group,lifespan,healthspan,sickspan,censored,food,temperature,control,batch_day,batch_device
statzer_main,N2(WT),16.060475,15.727141,0.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.393808,15.393808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.060475,13.060475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.727141,15.143808,0.583332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.727141,11.143808,1.58333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.310475,14.310475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.727141,13.727141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.643808,12.643808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.977141,12.977141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.810475,12.810475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.560475,12.727141,3.833334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.810475,12.643808,0.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.393808,12.393808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.393808,11.393808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.310475,11.977141,0.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.560475,11.560475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.477141,11.143808,7.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.810475,10.643808,0.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.227141,10.477141,0.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),9.727141,9.727141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.227141,9.727141,1.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.810475,9.643808,1.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),19.477141,19.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.977141,18.977141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.810475,13.727141,1.083334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),19.893808,19.893808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.310475,18.310475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.810475,19.393808,2.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.893808,23.893808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.810475,15.810475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.310475,18.310475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.143808,29.143808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.227141,31.227141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.477141,30.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.227141,33.227141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.143808,19.477141,3.666667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.143808,29.310475,6.833333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.060475,18.477141,3.583334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),41.727141,41.643808,0.0833330000000032,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.227141,28.727141,7.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.227141,22.310475,2.91666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.977141,30.477141,1.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),26.977141,14.060475,12.916666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.893808,35.893808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.060475,36.060475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.560475,31.560475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.810475,25.810475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.393808,25.393808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.477141,24.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.477141,24.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.477141,22.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.643808,18.727141,1.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.893808,20.893808,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.810475,18.810475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.477141,18.477141,,1,heat-killed OP50,15,True,,
