2.73266, 0.99974
24.23685, 1.00429
45.73668, 1.00436
67.23650, 1.00444
83.55576, 0.94137
86.67603, 0.89885
103.95960, 0.86741
115.15697, 0.80137
132.62726, 0.74279
151.35022, 0.69367
172.47077, 0.67151
186.92501, 0.59739
188.61532, 0.53980
189.24283, 0.65835
191.26860, 0.49783
198.32514, 0.40200
199.78196, 0.44225
201.73142, 0.34162
202.19423, 0.29129
214.44560, 0.25621
219.38433, 0.20260
241.00157, 0.19185
244.02289, 0.14050
249.09361, 0.09101
270.05930, 0.06828
288.99138, 0.05988
296.11241, 0.01317
