"France-Civ","1880-1884","Male",4.87721196886505
"France-Civ","1885-1889","Male",5.037503177109217
"France-Civ","1890-1894","Male",4.978664761390473
"France-Civ","1895-1899","Male",5.045456258945126
"France-Civ","1900-1904","Male",5.3264642175336245
"Denmark","1810-1814","Female",4.727697588318116
"Denmark","1815-1819","Female",4.772193146719316
"Denmark","1820-1824","Female",4.8258730831736
"Denmark","1825-1829","Female",4.738391331331775
"Denmark","1830-1834","Female",4.757616810382832
"Denmark","1835-1839","Female",4.773128633560731
"Denmark","1840-1844","Female",4.842002304451468
"Denmark","1845-1849","Female",4.834706745535076
"Denmark","1850-1854","Female",4.936156031113283
"Denmark","1855-1859","Female",5.126201924154646
"Denmark","1860-1864","Female",5.231488358378993
"Denmark","1865-1869","Female",5.369334196914004
"Denmark","1870-1874","Female",5.381238102053211
"Denmark","1875-1879","Female",5.32196066487776
"Denmark","1880-1884","Female",5.444562842790601
"Denmark","1885-1889","Female",5.5646166148391405
"Denmark","1890-1894","Female",5.6649022254593175
"Denmark","1895-1899","Female",5.869655901472216
"Denmark","1900-1904","Female",6.020985825928389
"Denmark","1810-1814","Male",4.785267519386559
"Denmark","1815-1819","Male",4.887984993318952
"Denmark","1820-1824","Male",4.943216957267657
"Denmark","1825-1829","Male",5.032838927642249
"Denmark","1830-1834","Male",4.975310074206298
"Denmark","1835-1839","Male",4.924816711217415
"Denmark","1840-1844","Male",5.045137329193449
"Denmark","1845-1849","Male",5.0094755874262455
"Denmark","1850-1854","Male",4.923033240531585
"Denmark","1855-1859","Male",4.957732631630908
"Denmark","1860-1864","Male",5.051303893288914
"Denmark","1865-1869","Male",5.31590664706852
"Denmark","1870-1874","Male",5.402739236652726
"Denmark","1875-1879","Male",5.455939410878256
"Denmark","1880-1884","Male",5.555997462332952
"Denmark","1885-1889","Male",5.976744057764241
"Denmark","1890-1894","Male",6.0942849777977
"Denmark","1895-1899","Male",6.4592898855717715
"Denmark","1900-1904","Male",6.953492840221322
"Netherlands","1810-1814","Female",4.332511630719076
"Netherlands","1815-1819","Female",4.3682801058101415
"Netherlands","1820-1824","Female",4.3845787164400996
"Netherlands","1825-1829","Female",4.467742945781575
"Netherlands","1830-1834","Female",4.557056528257901
"Netherlands","1835-1839","Female",4.626058810782148
"Netherlands","1840-1844","Female",4.702830727725951
"Netherlands","1845-1849","Female",4.804147415988207
"Netherlands","1850-1854","Female",4.811732051029664
"Netherlands","1855-1859","Female",4.995901938365878
"Netherlands","1860-1864","Female",5.116479433665377
"Netherlands","1865-1869","Female",5.3300898930107055
"Netherlands","1870-1874","Female",5.378130044353925
"Netherlands","1875-1879","Female",5.3724087327732555
"Netherlands","1880-1884","Female",5.436767126524638
"Netherlands","1885-1889","Female",5.663749068235512
"Netherlands","1890-1894","Female",5.79829740002366
"Netherlands","1895-1899","Female",5.891021830152283
"Netherlands","1900-1904","Female",5.9771905259128495
"Netherlands","1810-1814","Male",4.440006040310565
"Netherlands","1815-1819","Male",4.459461955108283
"Netherlands","1820-1824","Male",4.574906055622426
"Netherlands","1825-1829","Male",4.640061823147862
"Netherlands","1830-1834","Male",4.7294658473930244
"Netherlands","1835-1839","Male",4.784399365325814
"Netherlands","1840-1844","Male",4.865090854261313
"Netherlands","1845-1849","Male",4.845556905130248
"Netherlands","1850-1854","Male",4.94409724954848
"Netherlands","1855-1859","Male",5.019949109257372
"Netherlands","1860-1864","Male",5.201924600320407
"Netherlands","1865-1869","Male",5.423007232365776
"Netherlands","1870-1874","Male",5.60899747075422
"Netherlands","1875-1879","Male",5.655702176075456
"Netherlands","1880-1884","Male",5.791354825858574
"Netherlands","1885-1889","Male",6.247260626065995
"Netherlands","1890-1894","Male",6.409736867471817
"Netherlands","1895-1899","Male",6.511148756137725
"Netherlands","1900-1904","Male",6.11741299269045
