Lower CI,,Upper CI,,Central estimate,
X,Y,X,Y,X,Y
0,63.625304136253035,0,74.08759124087591,0,68.73479318734792
7.04081632653061,56.56934306569343,7.04081632653061,75.79075425790754,7.04081632653061,66.05839416058394
7.95918367346939,60.70559610705595,8.061224489795919,69.95133819951337,8.061224489795919,65.32846715328468
13.979591836734691,55.59610705596107,13.979591836734691,65.81508515815085,13.979591836734691,60.70559610705595
18.06122448979592,84.30656934306569,18.06122448979592,101.0948905109489,18.06122448979592,92.57907542579075
21.020408163265316,37.59124087591242,21.020408163265316,43.187347931873475,21.020408163265316,40.26763990267639
25.000000000000014,46.10705596107056,25.000000000000014,67.0316301703163,25.000000000000014,56.56934306569343
28.9795918367347,44.64720194647202,28.9795918367347,52.91970802919708,28.9795918367347,48.78345498783453
32.9591836734694,21.532846715328446,32.9591836734694,29.31873479318736,32.9591836734694,25.425790754257918
