Lower CI,,Upper CI,,Central estimate,
X,Y,X,Y,X,Y
-1.4210854715202004e-14,73.60097323600972,-1.4210854715202004e-14,89.90267639902676,0,81.8734793187348
3.9795918367346843,86.00973236009732,3.9795918367346843,97.68856447688565,3.9795918367346843,91.84914841849148
7.040816326530617,83.33333333333333,7.040816326530617,99.39172749391727,7.040816326530617,91.36253041362531
7.959183673469397,119.09975669099757,8.061224489795919,154.13625304136252,8.061224489795919,135.1581508515815
13.979591836734699,61.92214111922141,13.979591836734699,75.30413625304136,13.979591836734699,68.49148418491484
21.0204081632653,38.07785888077859,21.020408163265316,47.8102189781022,21.0204081632653,42.94403892944038
25.000000000000014,26.399026763990264,25.000000000000014,40.754257907542566,25.000000000000014,33.69829683698296
28.979591836734713,11.070559610705601,28.979591836734713,21.776155717761554,28.979591836734713,16.423357664233578
32.95918367346941,34.67153284671532,32.95918367346941,54.13625304136254,32.95918367346941,44.40389294403893
